Wall time,Step,Value
1586946729.368078,696,112.9615478515625
1586946734.943732,699,108.27643585205078
1586946736.808295,700,107.06036376953125
1586946738.64305,701,113.95790100097656
1586946742.342389,703,105.51224517822266
1586946744.187707,704,106.22311401367188
1586946746.019896,705,120.36693572998047
1586946747.893209,706,107.03141021728516
1586946753.056417,708,109.98655700683594
1586946755.264082,709,105.10004425048828
1586946757.404547,710,108.698486328125
1586946765.325157,714,105.66669464111328
1586946773.520929,718,108.95397186279297
1586946775.497097,719,109.35083770751953
1586946779.281545,721,101.32612609863281
1586946781.38372,722,105.50081634521484
1586946783.334998,723,113.7609634399414
1586946785.324092,724,112.6592025756836
1586946787.263647,725,105.40196228027344
1586946789.101253,726,102.84683990478516
1586946794.790069,729,102.6138687133789
1586946796.599968,730,107.97003936767578
1586946809.016341,736,107.58648681640625
1586946813.416367,738,107.04203796386719
1586946815.749985,739,106.46550750732422
1586946817.733085,740,110.52396392822266
1586946819.793376,741,106.71623229980469
1586946824.283294,743,107.91714477539062
1586946831.014833,746,109.14148712158203
1586946833.24723,747,109.83700561523438
1586946839.006224,750,106.4583511352539
1586946843.461457,751,107.36737060546875
1586946845.859321,752,107.03020477294922
1586946851.417524,754,107.39015197753906
1586946855.509413,756,102.19953155517578
1586946861.581674,759,104.32417297363281
1586946863.658539,760,105.42317199707031
1586946867.545695,762,110.91254425048828
1586946873.762169,765,105.9976806640625
1586946875.634299,766,106.08605194091797
1586946877.535231,767,104.91728210449219
1586946881.793933,769,110.20787048339844
1586946884.192065,770,116.72864532470703
1586946886.335186,771,110.79605865478516
1586946890.76795,773,106.59979248046875
1586946893.104622,774,103.99920654296875
1586946895.533393,775,105.79388427734375
1586946905.557272,780,108.5304946899414
1586946913.581665,784,103.33598327636719
1586946915.576624,785,108.78691101074219
1586946919.763081,787,113.5000228881836
1586946924.014633,789,107.46098327636719
1586946928.526171,791,103.28907775878906
1586946932.080812,792,104.14158630371094
1586946934.471626,793,108.05909729003906
1586946936.943966,794,106.3050308227539
1586946939.122269,795,103.83271026611328
1586946941.040893,796,109.27437591552734
1586946944.984745,798,102.44783782958984
1586946948.82005,800,98.48857879638672
1586946952.614902,802,102.74677276611328
1586946958.230143,805,107.37799835205078
1586946962.072141,807,107.64346313476562
1586946964.08244,808,105.2864990234375
1586946966.141307,809,107.80084228515625
1586946974.420923,813,111.60456085205078
1586946979.794596,815,103.68461608886719
1586946983.807482,816,104.9228286743164
1586946988.945347,818,104.49752044677734
1586946996.144978,821,105.86609649658203
1586947000.627153,823,104.56974029541016
1586947002.96391,824,104.28856658935547
1586947005.058981,825,106.585693359375
1586947012.829941,828,104.52352905273438
1586947020.396587,831,105.7613296508789
1586947023.097723,832,107.02435302734375
1586947027.648611,834,106.59845733642578
1586947032.325132,836,105.9861068725586
1586947036.873477,838,105.5513687133789
1586947048.104872,843,101.8755874633789
1586947052.557978,845,103.92626190185547
1586947054.756017,846,101.02938842773438
1586947057.044816,847,107.4138412475586
1586947059.337151,848,102.89871215820312
1586947066.176677,851,102.62552642822266
1586947079.530948,857,99.63260650634766
1586947083.846716,859,106.10210418701172
1586947085.900751,860,103.78096008300781
1586947087.91951,861,103.83316040039062
1586947089.825267,862,99.79689025878906
1586947091.794054,863,108.40318298339844
1586947099.975625,867,103.7105712890625
1586947104.184527,869,103.23424530029297
1586947106.262164,870,103.11385345458984
1586947114.752565,873,102.35069274902344
1586947116.727565,874,112.5387191772461
1586947118.970346,875,109.38204193115234
1586947121.30399,876,107.4687271118164
1586947123.478073,877,104.4319076538086
1586947127.856013,879,103.95603942871094
1586947129.904218,880,103.37652587890625
1586947132.002061,881,106.77857208251953
1586947133.964287,882,105.76708221435547
1586947138.193707,884,100.96752166748047
1586947145.540507,887,101.11479949951172
1586947150.61733,889,104.49061584472656
1586947152.806399,890,105.23377990722656
1586947157.521948,892,103.0319595336914
1586947159.80579,893,101.86345672607422
1586947166.342675,896,102.23240661621094
1586947168.303537,897,103.87447357177734
1586947172.278778,899,104.14164733886719
1586947174.815386,900,97.49609375
1586947189.995316,907,103.57093048095703
1586947192.169015,908,104.49034881591797
1586947194.439326,909,105.90364074707031
1586947196.52933,910,105.6292724609375
1586947198.6612,911,101.3636245727539
1586947200.787758,912,107.54524230957031
1586947202.870184,913,103.12684631347656
1586947207.074149,915,99.92242431640625
1586947209.406832,916,104.55191040039062
1586947211.770218,917,102.73609924316406
1586947218.362292,920,103.26053619384766
1586947220.316325,921,107.05599975585938
1586947222.212272,922,105.41407775878906
1586947224.444894,923,103.81929779052734
1586947228.752708,925,103.1067886352539
1586947241.799351,931,105.90168762207031
1586947243.778303,932,107.30484771728516
1586947245.776479,933,112.11082458496094
1586947249.590877,935,105.16999053955078
1586947257.637321,939,100.45004272460938
1586947263.660693,942,101.86029052734375
1586947269.492187,945,106.1631088256836
1586947277.294248,949,105.99893188476562
1586947283.151152,952,105.61763763427734
1586947285.324667,953,104.9759521484375
1586947287.559733,954,100.01156616210938
1586947291.78409,956,108.25550079345703
1586947294.028624,957,106.60897064208984
1586947296.277364,958,98.59075164794922
1586947303.059906,961,98.6213607788086
1586947305.485919,962,99.04918670654297
1586947310.123547,964,101.1018295288086
1586947314.635436,966,97.87226867675781
1586947318.574132,967,103.50040435791016
1586947323.916844,969,107.68402862548828
1586947328.06532,971,103.45904541015625
1586947330.58621,972,97.17325592041016
1586947334.651277,974,102.81886291503906
1586947338.710824,976,98.26826477050781
1586947340.779531,977,103.73157501220703
1586947342.797132,978,103.90473175048828
1586947344.68771,979,97.424072265625
1586947352.322435,982,101.76148986816406
1586947354.715058,983,102.63821411132812
1586947357.012479,984,98.5207748413086
1586947364.653072,987,105.44960021972656
1586947366.780498,988,106.61052703857422
